date,hwadam_std_lag20_35
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-21,0.0
2023-01-22,0.05927676146686828
2023-01-23,0.052572401859263776
2023-01-24,0.048514092515437895
2023-01-25,0.045185399036918254
2023-01-26,0.04265442143182644
2023-01-27,0.041117715352864764
2023-01-28,0.04748665230098
2023-01-29,0.05194008377201675
2023-01-30,0.05513922707021679
2023-01-31,0.05727723509683227
2023-02-01,0.058820539843586504
2023-02-02,0.06028440606473473
2023-02-03,0.061538600663903945
2023-02-04,0.059222131925543854
2023-02-05,0.05695463702699709
2023-02-06,0.05508201315566124
2023-02-07,0.053346549963262734
2023-02-08,0.05276319274226693
2023-02-09,0.052940762741568656
2023-02-10,0.05243325297557675
2023-02-11,0.05399036574449128
2023-02-12,0.05657680843837867
2023-02-13,0.055937218361852684
2023-02-14,0.055448798613517675
2023-02-15,0.055041292881636034
2023-02-16,0.054611151888146976
2023-02-17,0.05423075911075158
2023-02-18,0.052880661916730555
2023-02-19,0.0496600452192333
2023-02-20,0.04942272074407779
2023-02-21,0.049307351328591834
2023-02-22,0.0489882442857377
2023-02-23,0.04834705422105011
2023-02-24,0.04845143433624681
2023-02-25,0.0490894224668293
2023-02-26,0.05049147595860845
2023-02-27,0.04959652554149677
2023-02-28,0.046919587998096826
2023-03-01,0.04372717297530935
2023-03-02,0.040260087518113594
2023-03-03,0.037955608099419044
2023-03-04,0.03607250544749661
2023-03-05,0.03658356329470425
2023-03-06,0.037877133866285155
2023-03-07,0.04060638175309918
2023-03-08,0.042699838890196
2023-03-09,0.044211844341449716
2023-03-10,0.04592692409323583
2023-03-11,0.04726887392637964
2023-03-12,0.0468884831858523
2023-03-13,0.04559897811685498
2023-03-14,0.04750504557152497
2023-03-15,0.05154667688001969
2023-03-16,0.056586211431783204
2023-03-17,0.06251545124781932
2023-03-18,0.07128727406461084
2023-03-19,0.0847438886902684
2023-03-20,0.10063443402183635
2023-03-21,0.1143606447067445
2023-03-22,0.12758719633298987
2023-03-23,0.13835161174500227
2023-03-24,0.14361881654595912
2023-03-25,0.14337916598441078
2023-03-26,0.15390301311741764
2023-03-27,0.1663888366816791
2023-03-28,0.19010284910754455
2023-03-29,0.23176368095904734
2023-03-30,0.2933964302408075
2023-03-31,0.3481624392010549
2023-04-01,0.3982298167883529
2023-04-02,0.4456975958466568
2023-04-03,0.48535989195288387
2023-04-04,0.518818539971614
2023-04-05,0.5581893952223712
2023-04-06,0.5896715979201468
2023-04-07,0.6185625288364804
2023-04-08,0.6429583213178082
2023-04-09,0.6709422506565957
2023-04-10,0.703116628225831
2023-04-11,0.7268367228625812
2023-04-12,0.7577817858414897
2023-04-13,0.7852788482515429
2023-04-14,0.7866122209960664
2023-04-15,0.7572838568319196
2023-04-16,0.7496340458275946
2023-04-17,0.7475485651861467
2023-04-18,0.7554661127248259
2023-04-19,0.7884498334552139
2023-04-20,0.8496011097876583
2023-04-21,0.8832121796192645
2023-04-22,0.9085230846398937
2023-04-23,0.9463944957281956
2023-04-24,1.0116980472612453
2023-04-25,1.1002122633401654
2023-04-26,1.1942966901970575
2023-04-27,1.24612192947386
2023-04-28,1.2531498984736202
2023-04-29,1.2371835082014675
2023-04-30,1.2252079196631296
2023-05-01,1.2281820276299367
2023-05-02,1.2175510920042434
2023-05-03,1.2040616661623542
2023-05-04,1.1720905474456391
2023-05-05,1.1070051184948753
2023-05-06,1.0054722009978614
2023-05-07,0.9225076641673516
2023-05-08,0.8598656127094491
2023-05-09,0.7870362731840371
2023-05-10,0.6928879278509015
2023-05-11,0.585095093051662
2023-05-12,0.48103239403328435
2023-05-13,0.4166637882231722
2023-05-14,0.38822415599005905
2023-05-15,0.3751756320258087
2023-05-16,0.3677014851916854
2023-05-17,0.3521931361146791
2023-05-18,0.33114757427099034
2023-05-19,0.30326336176524926
2023-05-20,0.293355852693968
2023-05-21,0.2962677920294671
2023-05-22,0.3063066884438648
2023-05-23,0.32229795781365
2023-05-24,0.3419996693743769
2023-05-25,0.36640990867274037
2023-05-26,0.393067856445305
2023-05-27,0.39914386292326653
2023-05-28,0.3895097398003398
2023-05-29,0.3708800489339434
2023-05-30,0.349434776771079
2023-05-31,0.3282990227395334
2023-06-01,0.306949243738448
2023-06-02,0.29270011275860125
2023-06-03,0.28021027823354244
2023-06-04,0.27879861312017007
2023-06-05,0.271245838642289
2023-06-06,0.2655338965984428
2023-06-07,0.26263037097581315
2023-06-08,0.2536302648727809
2023-06-09,0.2316504634885151
2023-06-10,0.20484305946052722
2023-06-11,0.1766623878349272
2023-06-12,0.16183222347943188
2023-06-13,0.15501378196671847
2023-06-14,0.1557256145968042
2023-06-15,0.16009365364625916
2023-06-16,0.16325968891719078
2023-06-17,0.1695230495101888
2023-06-18,0.16938935740687572
2023-06-19,0.16992999083679344
2023-06-20,0.16793771025539586
2023-06-21,0.1836749542620402
2023-06-22,0.19925529432085606
2023-06-23,0.21712566315376072
2023-06-24,0.23570165616075958
2023-06-25,0.258448944985023
2023-06-26,0.27434948517365154
2023-06-27,0.28790085214091143
2023-06-28,0.3079698452599224
2023-06-29,0.3315493044716423
2023-06-30,0.35714405367130453
2023-07-01,0.3784963665022259
2023-07-02,0.3917931917521458
2023-07-03,0.3867577351602697
2023-07-04,0.38214490051864386
2023-07-05,0.37766325530330164
2023-07-06,0.3739463588668801
2023-07-07,0.35240571081649263
2023-07-08,0.3302630933983617
2023-07-09,0.309616506505543
2023-07-10,0.29084943440210653
2023-07-11,0.2742610735526144
2023-07-12,0.26535200119558183
2023-07-13,0.2566614986373065
2023-07-14,0.23645611382256185
2023-07-15,0.21317254052611892
2023-07-16,0.19526772573018097
2023-07-17,0.18312698883620251
2023-07-18,0.1825250935871538
2023-07-19,0.19683878980019698
2023-07-20,0.2075368143065573
2023-07-21,0.2112346429122688
2023-07-22,0.21188522453821182
2023-07-23,0.21210564308467356
2023-07-24,0.21267718327317947
2023-07-25,0.20831984157176026
2023-07-26,0.2016104820401566
2023-07-27,0.19334541419485574
2023-07-28,0.18378349239899927
2023-07-29,0.17633231045617853
2023-07-30,0.17500015009654607
2023-07-31,0.1745928768338172
2023-08-01,0.16933932207382296
2023-08-02,0.16241483754410338
2023-08-03,0.15311214555420397
2023-08-04,0.13672695160131454
2023-08-05,0.1228807626525285
2023-08-06,0.11597334689919556
2023-08-07,0.11136894969255322
2023-08-08,0.10624679619514447
2023-08-09,0.10002131167751234
2023-08-10,0.0928347260111135
2023-08-11,0.08679133539406837
2023-08-12,0.08082683497016228
2023-08-13,0.0767519005087812
2023-08-14,0.0735133433818565
2023-08-15,0.06972288144747116
2023-08-16,0.06526761537603344
2023-08-17,0.06043225655241033
2023-08-18,0.05499793937851703
2023-08-19,0.048360276586197834
2023-08-20,0.04739667634705224
2023-08-21,0.047032576895831534
2023-08-22,0.04662732020533875
2023-08-23,0.046697712602094835
2023-08-24,0.046338412074113225
2023-08-25,0.04627076069824359
2023-08-26,0.047322700268946895
2023-08-27,0.04788829467334768
2023-08-28,0.04856792728844684
2023-08-29,0.04919899931546506
2023-08-30,0.04937024098344421
2023-08-31,0.05163256700409234
2023-09-01,0.05774604165740553
2023-09-02,0.06684615797215807
2023-09-03,0.07668469974280663
2023-09-04,0.08761151743663873
2023-09-05,0.09680624587297215
2023-09-06,0.10142281996760577
2023-09-07,0.10624257923327027
2023-09-08,0.11082576435126969
2023-09-09,0.11379750873714253
2023-09-10,0.12197563867755659
2023-09-11,0.12988251723331995
2023-09-12,0.13739480329689122
2023-09-13,0.1446294601272682
2023-09-14,0.15212947787467648
2023-09-15,0.15987351476736109
2023-09-16,0.17574110106631352
2023-09-17,0.19743611285438878
2023-09-18,0.2220179497652518
2023-09-19,0.2424867156201732
2023-09-20,0.25889592586693544
2023-09-21,0.284782826946622
2023-09-22,0.30984902514188734
2023-09-23,0.3361806801334106
2023-09-24,0.42187504240432555
2023-09-25,0.5069825572324745
2023-09-26,0.581868928066895
2023-09-27,0.653987402818651
2023-09-28,0.7293104743954693
2023-09-29,0.8059645144857291
2023-09-30,0.88199052148578
2023-10-01,0.900118094077761
2023-10-02,0.9091541086020317
2023-10-03,0.9062303856179919
2023-10-04,0.8942881072737704
2023-10-05,0.880415022792131
2023-10-06,0.8717274960369118
2023-10-07,0.8569502103247448
2023-10-08,0.8610537393293558
2023-10-09,0.9424631389421853
2023-10-10,3.1166503237289636
2023-10-11,5.30072294597882
2023-10-12,7.449926719134779
2023-10-13,9.576621482059657
2023-10-14,11.678944664391528
2023-10-15,13.763460557502938
2023-10-16,15.861980017237338
2023-10-17,16.59211536452574
2023-10-18,16.692920750238162
2023-10-19,16.718091873367392
2023-10-20,16.751667227104907
2023-10-21,16.803299891465194
2023-10-22,16.859699794108693
2023-10-23,16.90496426972546
2023-10-24,16.96696551194965
2023-10-25,16.93475739617723
2023-10-26,14.743800582211493
2023-10-27,12.544588116248233
2023-10-28,10.385334310637234
2023-10-29,8.251412754487825
2023-10-30,6.1321027671216
2023-10-31,4.004002559107284
2023-11-01,1.8656250912454568
2023-11-02,1.1550965756214777
2023-11-03,1.0654118302452988
2023-11-04,1.049000342053432
2023-11-05,1.0630059355205528
2023-11-06,1.0895584731084322
2023-11-07,1.117284127980588
2023-11-08,1.156663418174367
2023-11-09,1.171207636034559
2023-11-10,1.168996710890749
2023-11-11,1.120317334318604
2023-11-12,1.126062291405479
2023-11-13,1.1377127839077608
2023-11-14,1.1460052758203962
2023-11-15,1.1541235155194645
2023-11-16,1.1998783393244568
2023-11-17,1.225114636663033
2023-11-18,1.2352018374438254
2023-11-19,1.2419016470342192
2023-11-20,1.2585190023705242
2023-11-21,1.246444824535875
2023-11-22,1.212527213871255
2023-11-23,1.1580198138750895
2023-11-24,1.1338222033783156
2023-11-25,1.150821268410359
2023-11-26,1.2030493778295706
2023-11-27,1.3300223273654632
2023-11-28,1.4148541609544925
2023-11-29,1.4809333635637039
2023-11-30,1.5148231545833128
2023-12-01,1.5347435105724743
2023-12-02,1.5440544882236398
2023-12-03,1.5594799405149145
2023-12-04,1.5864207274848223
2023-12-05,1.622900456840059
2023-12-06,1.6508960113728308
2023-12-07,1.6550377590666685
2023-12-08,1.6345555840263413
2023-12-09,1.6153655634555324
2023-12-10,1.5603129974530794
2023-12-11,1.453451027498778
2023-12-12,1.3422484529271297
2023-12-13,1.2087456392677174
2023-12-14,1.060934558743632
2023-12-15,0.9185747588168276
2023-12-16,0.8075757506131382
2023-12-17,0.7204350415539288
2023-12-18,0.6321643588297958
2023-12-19,0.5553350523689375
2023-12-20,0.4800366512844313
2023-12-21,0.4054987601384097
2023-12-22,0.33029325305181395
2023-12-23,0.2675793423995048
2023-12-24,0.22615094770710328
2023-12-25,0.19568234926837946
2023-12-26,0.16906124914054596
2023-12-27,0.14787191619136147
2023-12-28,0.12817514863852256
2023-12-29,0.10926579342616304
2023-12-30,0.09329278743515261
2023-12-31,0.08509159156281941
2024-01-01,0.08135300010505418
2024-01-02,0.07469777751510648
2024-01-03,0.06797725594955421
2024-01-04,0.06044560995244962
2024-01-05,0.052137019194352985
2024-01-06,0.0422822586949654
2024-01-07,0.03650924273503034
2024-01-08,0.03463608080232513
2024-01-09,0.03246663736965216
2024-01-10,0.03195851941070832
2024-01-11,0.03160381989549015
2024-01-12,0.031146122136681734
2024-01-13,0.03144162844396466
2024-01-14,0.03145433865591251
2024-01-15,0.031358461659472335
2024-01-16,0.030603641101310572
2024-01-17,0.029299133018609032
2024-01-18,0.027316443437966728
2024-01-19,0.02504806140188606
2024-01-20,0.02252344529137682
2024-01-21,0.022739463016232114
2024-01-22,0.024555535076433304
2024-01-23,0.025632734841713363
2024-01-24,0.026363643761871308
2024-01-25,0.02715880695419872
2024-01-26,0.02809867952263146
2024-01-27,0.02871552759399165
2024-01-28,0.02947037337218414
2024-01-29,0.02954376105423795
2024-01-30,0.02947407273644434
2024-01-31,0.029490058317073117
2024-02-01,0.029912441372569425
2024-02-02,0.03064193966423647
2024-02-03,0.031917430547924945
2024-02-04,0.032814861137905375
2024-02-05,0.03354474456507791
2024-02-06,0.03243512421269818
2024-02-07,0.031380653070529015
2024-02-08,0.030312444863798957
2024-02-09,0.02877676958695401
2024-02-10,0.02764593752228143
2024-02-11,0.02717321522295032
2024-02-12,0.027337556340515066
2024-02-13,0.027601243751039648
2024-02-14,0.02772037637357243
2024-02-15,0.027829874305000488
2024-02-16,0.02877659298151253
2024-02-17,0.02974876464633362
2024-02-18,0.030378129914309965
2024-02-19,0.03064653555611202
2024-02-20,0.03076548045525151
2024-02-21,0.030889099895851
2024-02-22,0.03126598904398025
2024-02-23,0.03207884370346977
2024-02-24,0.035069314861404216
2024-02-25,0.039079454741694365
2024-02-26,0.04239567277894209
2024-02-27,0.04427804242166098
2024-02-28,0.045039295887232586
2024-02-29,0.04634015494833394
2024-03-01,0.050032706562728554
2024-03-02,0.05471071517867954
2024-03-03,0.05906096208043862
2024-03-04,0.06534511896237767
2024-03-05,0.07828732069960855
2024-03-06,0.08966889972986408
2024-03-07,0.10017311083309945
2024-03-08,0.11036901343558789
2024-03-09,0.11943648491178042
2024-03-10,0.12634039959498045
2024-03-11,0.1313762901409819
2024-03-12,0.1292304149537815
2024-03-13,0.12749276530292347
2024-03-14,0.1265390660455816
2024-03-15,0.1263079120971587
2024-03-16,0.12568638610315339
2024-03-17,0.12577659308714678
2024-03-18,0.12752797983247266
2024-03-19,0.13903092372288905
2024-03-20,0.16226592550961766
2024-03-21,0.1790277309511792
2024-03-22,0.194455092665107
2024-03-23,0.2084733599799243
2024-03-24,0.22150718692963167
2024-03-25,0.2271117952256046
2024-03-26,0.23281681129119966
2024-03-27,0.23796495286673858
2024-03-28,0.2518413565906274
2024-03-29,0.2595868785976149
2024-03-30,0.29209837668476385
2024-03-31,2.597949807565251
2024-04-01,4.870669852468017
2024-04-02,7.107099828570145
2024-04-03,9.316371477860102
2024-04-04,11.502131860855407
2024-04-05,13.662765068194092
2024-04-06,15.820633306425593
2024-04-07,16.201326279422773
2024-04-08,16.32249014417469
2024-04-09,16.367301284939625
2024-04-10,16.38549502093778
2024-04-11,16.408389257109008
2024-04-12,16.43360233169628
2024-04-13,16.454130891738036
2024-04-14,16.48974344064521
2024-04-15,16.51149778229298
2024-04-16,14.27508183205134
2024-04-17,12.086841661192613
2024-04-18,9.971065646824577
2024-04-19,7.869101963291541
2024-04-20,5.757230348216131
