date,hwadam_foliage_lag7_18
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.007835
2023-01-14,0.006715714285714286
2023-01-15,0.0117525
2023-01-16,0.010446666666666667
2023-01-17,0.009402
2023-01-18,0.008547272727272728
2023-01-19,0.007835
2023-01-20,0.007835
2023-01-21,0.007835
2023-01-22,0.007835
2023-01-23,0.012536666666666668
2023-01-24,0.012536666666666668
2023-01-25,0.008619166666666667
2023-01-26,0.008619166666666666
2023-01-27,0.0047016666666666665
2023-01-28,0.0047016666666666665
2023-01-29,0.010970833333333332
2023-01-30,0.010970833333333332
2023-01-31,0.015672500000000002
2023-02-01,0.015672500000000002
2023-02-02,0.015672500000000002
2023-02-03,0.015672500000000002
2023-02-04,0.015672500000000002
2023-02-05,0.015672500000000002
2023-02-06,0.015672500000000002
2023-02-07,0.015672500000000002
2023-02-08,0.015672500000000002
2023-02-09,0.015672500000000002
2023-02-10,0.009403333333333333
2023-02-11,0.013320833333333332
2023-02-12,0.008619166666666666
2023-02-13,0.008619166666666666
2023-02-14,0.008619166666666666
2023-02-15,0.008619166666666666
2023-02-16,0.0039175
2023-02-17,0.0039175
2023-02-18,0.007835
2023-02-19,0.012536666666666668
2023-02-20,0.012536666666666668
2023-02-21,0.012536666666666668
2023-02-22,0.012536666666666668
2023-02-23,0.014104166666666668
2023-02-24,0.014104166666666668
2023-02-25,0.018805833333333334
2023-02-26,0.0235075
2023-02-27,0.0235075
2023-02-28,0.027425
2023-03-01,0.036045
2023-03-02,0.0376125
2023-03-03,0.032910833333333334
2023-03-04,0.0376125
2023-03-05,0.043097500000000004
2023-03-06,0.0517175
2023-03-07,0.0517175
2023-03-08,0.058769999999999996
2023-03-09,0.06817333333333332
2023-03-10,0.0799275
2023-03-11,0.08698
2023-03-12,0.08698
2023-03-13,0.07836
2023-03-14,0.0767925
2023-03-15,0.08776333333333335
2023-03-16,0.09168166666666666
2023-03-17,0.10735499999999999
2023-03-18,0.10735499999999999
2023-03-19,0.11675916666666668
2023-03-20,0.11597583333333333
2023-03-21,0.11127416666666667
2023-03-22,0.1010875
2023-03-23,0.10500583333333334
2023-03-24,0.11676083333333333
2023-03-25,0.13400083333333332
2023-03-26,0.14732333333333333
2023-03-27,0.14889083333333333
2023-03-28,0.15907833333333335
2023-03-29,0.1535925
2023-03-30,0.16613083333333334
2023-03-31,0.17475083333333333
2023-04-01,0.19355833333333336
2023-04-02,0.20531333333333335
2023-04-03,0.22177
2023-04-04,0.23979416666666667
2023-04-05,0.250765
2023-04-06,0.2546833333333334
2023-04-07,0.2687891666666667
2023-04-08,0.28994749999999997
2023-04-09,0.30248583333333334
2023-04-10,0.317375
2023-04-11,0.325995
2023-04-12,0.33226416666666664
2023-04-13,0.33148
2023-04-14,0.3299125
2023-04-15,0.3377483333333333
2023-04-16,0.3236425
2023-04-17,0.3142391666666667
2023-04-18,0.3118883333333333
2023-04-19,0.2977825
2023-04-20,0.27427250000000003
2023-04-21,0.27113750000000003
2023-04-22,0.25468083333333336
2023-04-23,0.24527666666666667
2023-04-24,0.23117083333333335
2023-04-25,0.21314750000000002
2023-04-26,0.20217666666666667
2023-04-27,0.17866749999999998
2023-04-28,0.1771
2023-04-29,0.1786675
2023-04-30,0.17866749999999998
2023-05-01,0.17083083333333335
2023-05-02,0.16848
2023-05-03,0.15124
2023-05-04,0.14732166666666666
2023-05-05,0.1355675
2023-05-06,0.13321666666666668
2023-05-07,0.14732166666666666
2023-05-08,0.15750916666666667
2023-05-09,0.1676966666666667
2023-05-10,0.15907666666666667
2023-05-11,0.15280749999999999
2023-05-12,0.14888916666666666
2023-05-13,0.14653833333333335
2023-05-14,0.14810583333333335
2023-05-15,0.14262
2023-05-16,0.14340416666666667
2023-05-17,0.14105333333333334
2023-05-18,0.14183666666666667
2023-05-19,0.12146249999999999
2023-05-20,0.11440916666666667
2023-05-21,0.11362499999999999
2023-05-22,0.12302833333333334
2023-05-23,0.11832583333333334
2023-05-24,0.11284
2023-05-25,0.11205666666666665
2023-05-26,0.11048916666666665
2023-05-27,0.1230275
2023-05-28,0.13556583333333333
2023-05-29,0.14261833333333332
2023-05-30,0.14105166666666666
2023-05-31,0.15123833333333334
2023-06-01,0.14496916666666668
2023-06-02,0.13556583333333336
2023-06-03,0.13948416666666666
2023-06-04,0.14810416666666668
2023-06-05,0.1520225
2023-06-06,0.15985833333333335
2023-06-07,0.167695
2023-06-08,0.1575075
2023-06-09,0.14340166666666668
2023-06-10,0.14340166666666668
2023-06-11,0.14888666666666667
2023-06-12,0.14575249999999998
2023-06-13,0.16926249999999998
2023-06-14,0.19355583333333334
2023-06-15,0.2006091666666667
2023-06-16,0.19120583333333332
2023-06-17,0.1959075
2023-06-18,0.20217666666666667
2023-06-19,0.206095
2023-06-20,0.22020083333333337
2023-06-21,0.22020083333333332
2023-06-22,0.21706583333333332
2023-06-23,0.22098416666666668
2023-06-24,0.23273916666666664
2023-06-25,0.2249025
2023-06-26,0.21706583333333332
2023-06-27,0.20766166666666666
2023-06-28,0.21549833333333335
2023-06-29,0.21236416666666666
2023-06-30,0.21314833333333336
2023-07-01,0.2100133333333333
2023-07-02,0.20766249999999997
2023-07-03,0.21314833333333336
2023-07-04,0.2155
2023-07-05,0.21471666666666667
2023-07-06,0.21628333333333336
2023-07-07,0.20687916666666664
2023-07-08,0.19825916666666665
2023-07-09,0.2076633333333333
2023-07-10,0.22020166666666666
2023-07-11,0.23352333333333333
2023-07-12,0.23665749999999997
2023-07-13,0.2397925
2023-07-14,0.24214333333333335
2023-07-15,0.25233083333333334
2023-07-16,0.2703541666666667
2023-07-17,0.2687866666666667
2023-07-18,0.27348916666666667
2023-07-19,0.27505666666666667
2023-07-20,0.28602750000000005
2023-07-21,0.27584000000000003
2023-07-22,0.2774075
2023-07-23,0.28289333333333333
2023-07-24,0.29699916666666665
2023-07-25,0.3087541666666667
2023-07-26,0.31032166666666666
2023-07-27,0.30483583333333336
2023-07-28,0.28916333333333333
2023-07-29,0.29935083333333334
2023-07-30,0.3064033333333333
2023-07-31,0.3252108333333334
2023-08-01,0.3322633333333333
2023-08-02,0.34793583333333333
2023-08-03,0.36204083333333337
2023-08-04,0.36282416666666667
2023-08-05,0.3510691666666667
2023-08-06,0.37536166666666665
2023-08-07,0.40435666666666664
2023-08-08,0.43962083333333335
2023-08-09,0.500745
2023-08-10,0.5344416666666666
2023-08-11,0.558735
2023-08-12,0.5853791666666667
2023-08-13,0.6088891666666666
2023-08-14,0.6574758333333333
2023-08-15,0.6880383333333334
2023-08-16,0.7217358333333334
2023-08-17,0.7585675
2023-08-18,0.7938325
2023-08-19,0.8447699999999999
2023-08-20,0.9278366666666668
2023-08-21,0.9764233333333334
2023-08-22,1.0446008333333332
2023-08-23,1.1441241666666668
2023-08-24,1.2397291666666668
2023-08-25,1.3423875
2023-08-26,1.3917575
2023-08-27,1.499901666666667
2023-08-28,1.6715208333333333
2023-08-29,1.8008233333333334
2023-08-30,1.9614708333333333
2023-08-31,2.0860708333333333
2023-09-01,2.228695833333333
2023-09-02,2.4026658333333333
2023-09-03,2.9010675
2023-09-04,3.513881666666667
2023-09-05,4.119643333333333
2023-09-06,4.5341941666666665
2023-09-07,5.029460833333333
2023-09-08,5.648544166666667
2023-09-09,6.139892499999999
2023-09-10,6.838908333333333
2023-09-11,7.983037499999999
2023-09-12,8.646005
2023-09-13,8.982974166666667
2023-09-14,9.26979
2023-09-15,9.180454166666665
2023-09-16,8.977489166666667
2023-09-17,8.9641675
2023-09-18,9.210233333333333
2023-09-19,9.302704166666667
2023-09-20,9.145190000000001
2023-09-21,9.158511666666667
2023-09-22,8.926550833333332
2023-09-23,8.152305
2023-09-24,8.144469166666667
2023-09-25,8.365458333333333
2023-09-26,9.446895833333334
2023-09-27,15.005324166666668
2023-09-28,17.787280833333337
2023-09-29,18.215153333333333
2023-09-30,18.187725833333335
2023-10-01,18.147759166666667
2023-10-02,18.042750833333333
2023-10-03,17.7606375
2023-10-04,17.58274916666667
2023-10-05,17.459715833333334
2023-10-06,17.1337175
2023-10-07,17.003631666666667
2023-10-08,15.803863333333334
2023-10-09,10.128670833333333
2023-10-10,7.407055
2023-10-11,6.812265
2023-10-12,6.422790833333333
2023-10-13,6.2307966666666665
2023-10-14,6.146161666666667
2023-10-15,6.094440833333333
2023-10-16,5.998835833333334
2023-10-17,5.9604375
2023-10-18,5.8209475
2023-10-19,5.579583333333333
2023-10-20,5.509838333333334
2023-10-21,5.462819166666667
2023-10-22,5.274743333333333
2023-10-23,5.254368333333334
2023-10-24,5.493381666666667
2023-10-25,5.620333333333334
2023-10-26,5.737880833333333
2023-10-27,5.994134166666666
2023-10-28,6.22296
2023-10-29,6.4839150000000005
2023-10-30,6.897682500000001
2023-10-31,7.168824999999999
2023-11-01,7.515981666666666
2023-11-02,7.916426666666667
2023-11-03,8.209511666666666
2023-11-04,8.240074166666668
2023-11-05,8.225184166666667
2023-11-06,8.269851666666668
2023-11-07,8.2173475
2023-11-08,8.103718333333335
2023-11-09,7.965011666666666
2023-11-10,7.68133
2023-11-11,7.189980833333333
2023-11-12,6.81618
2023-11-13,6.469806666666666
2023-11-14,6.038799166666666
2023-11-15,5.6508925
2023-11-16,5.3389991666666665
2023-11-17,4.917395833333333
2023-11-18,4.473066666666667
2023-11-19,4.065568333333333
2023-11-20,3.6416133333333334
2023-11-21,3.2638941666666668
2023-11-22,2.917521666666667
2023-11-23,2.618951666666667
2023-11-24,2.31803
2023-11-25,1.9567675
2023-11-26,1.6299858333333332
2023-11-27,1.3149583333333335
2023-11-28,1.0485175
2023-11-29,0.8627925
2023-11-30,0.6707983333333334
2023-12-01,0.5704916666666667
2023-12-02,0.455295
2023-12-03,0.362825
2023-12-04,0.2789741666666667
2023-12-05,0.23744083333333332
2023-12-06,0.180235
2023-12-07,0.14732166666666666
2023-12-08,0.13164833333333334
2023-12-09,0.10970666666666667
2023-12-10,0.0979525
2023-12-11,0.07836166666666666
2023-12-12,0.05877083333333333
2023-12-13,0.0478
2023-12-14,0.033695
2023-12-15,0.027425833333333333
2023-12-16,0.020373333333333337
2023-12-17,0.020373333333333337
2023-12-18,0.014104166666666668
2023-12-19,0.010186666666666667
2023-12-20,0.006269166666666667
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0047016666666666665
2023-12-24,0.0047016666666666665
2023-12-25,0.0047016666666666665
2023-12-26,0.0047016666666666665
2023-12-27,0.0047016666666666665
2023-12-28,0.0047016666666666665
2023-12-29,0.0047016666666666665
2023-12-30,0.0047016666666666665
2023-12-31,0.0047016666666666665
2024-01-01,0.0047016666666666665
2024-01-02,0.0047016666666666665
2024-01-03,0.0047016666666666665
2024-01-04,0.0
2024-01-05,0.0
2024-01-06,0.0
2024-01-07,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0039175
2024-01-13,0.0039175
2024-01-14,0.0039175
2024-01-15,0.007835
2024-01-16,0.007835
2024-01-17,0.007835
2024-01-18,0.007835
2024-01-19,0.007835
2024-01-20,0.007835
2024-01-21,0.007835
2024-01-22,0.007835
2024-01-23,0.007835
2024-01-24,0.0039175
2024-01-25,0.0039175
2024-01-26,0.0039175
2024-01-27,0.0
2024-01-28,0.0047016666666666665
2024-01-29,0.008619166666666666
2024-01-30,0.013320833333333332
2024-01-31,0.013320833333333332
2024-02-01,0.013320833333333332
2024-02-02,0.0180225
2024-02-03,0.022724166666666667
2024-02-04,0.022724166666666667
2024-02-05,0.026641666666666664
2024-02-06,0.026641666666666664
2024-02-07,0.026641666666666664
2024-02-08,0.026641666666666664
2024-02-09,0.021939999999999998
2024-02-10,0.0180225
2024-02-11,0.0180225
2024-02-12,0.0180225
2024-02-13,0.0180225
2024-02-14,0.013320833333333332
2024-02-15,0.008619166666666667
2024-02-16,0.008619166666666666
2024-02-17,0.0156725
2024-02-18,0.0211575
2024-02-19,0.025075
2024-02-20,0.032127499999999996
2024-02-21,0.032127499999999996
2024-02-22,0.04231416666666666
2024-02-23,0.04231416666666666
2024-02-24,0.04858333333333333
2024-02-25,0.04858333333333333
2024-02-26,0.04858333333333333
2024-02-27,0.04858333333333333
2024-02-28,0.04858333333333333
2024-02-29,0.043097500000000004
2024-03-01,0.04153
2024-03-02,0.044665
2024-03-03,0.043097500000000004
2024-03-04,0.047015
2024-03-05,0.040745833333333335
2024-03-06,0.03604416666666667
2024-03-07,0.038395000000000006
2024-03-08,0.04466416666666667
2024-03-09,0.05485083333333333
2024-03-10,0.07052333333333334
2024-03-11,0.07757583333333333
2024-03-12,0.07836
2024-03-13,0.08541333333333334
2024-03-14,0.09716833333333334
2024-03-15,0.096385
2024-03-16,0.10187083333333334
2024-03-17,0.11989500000000002
2024-03-18,0.212365
2024-03-19,0.24606166666666665
2024-03-20,0.264085
2024-03-21,0.2695708333333333
2024-03-22,0.2727058333333333
2024-03-23,0.28289333333333333
2024-03-24,0.28681083333333335
2024-03-25,0.28916166666666665
2024-03-26,0.2797575
2024-03-27,0.29151166666666667
2024-03-28,0.29151166666666667
2024-03-29,0.2805408333333333
2024-03-30,0.2013925
2024-03-31,0.1747483333333333
2024-04-01,0.17239749999999998
2024-04-02,0.173965
2024-04-03,0.18101749999999997
2024-04-04,0.18493583333333333
2024-04-05,0.19120499999999999
2024-04-06,0.19198833333333334
2024-04-07,0.20139249999999997
2024-04-08,0.20296
2024-04-09,0.22019999999999998
2024-04-10,0.23352166666666666
2024-04-11,0.2444925
2024-04-12,0.27113666666666664
2024-04-13,0.27583833333333335
2024-04-14,0.28524166666666667
2024-04-15,0.28524166666666667
2024-04-16,0.2922941666666667
2024-04-17,0.30953499999999995
2024-04-18,0.31737166666666666
2024-04-19,0.33226083333333334
2024-04-20,0.33617916666666664
2024-04-21,0.3346125
2024-04-22,0.32599249999999996
2024-04-23,0.3252091666666667
2024-04-24,0.29699749999999997
2024-04-25,0.28681
2024-04-26,0.281325
2024-04-27,0.27348833333333333
2024-04-28,0.26016666666666666
2024-04-29,0.23744083333333335
2024-04-30,0.2296041666666667
2024-05-01,0.2045275
2024-05-02,0.19120583333333332
2024-05-03,0.173965
2024-05-04,0.17004666666666668
2024-05-05,0.1567241666666667
2024-05-06,0.15280583333333334
2024-05-07,0.15123916666666667
2024-05-08,0.14261916666666666
2024-05-09,0.13008083333333334
2024-05-10,0.12067666666666667
2024-05-11,0.12851333333333334
2024-05-12,0.12616249999999998
2024-05-13,0.12381166666666667
2024-05-14,0.13008083333333334
2024-05-15,0.13635
