date,local,outside,foreign
2023-04-28,222197.5,131082.0,1517.53
2023-04-29,194778.5,154686.0,1637.2999999999997
2023-04-30,195538.0,199069.5,1619.9400000000003
2023-05-01,217511.0,146342.0,1660.8700000000001
2023-05-02,224829.5,102231.5,1525.6299999999999
2023-05-03,225659.0,106872.5,1400.99
2023-05-04,226593.5,127739.5,1586.2399999999998
2023-05-05,191107.0,142702.0,1525.46
2023-05-06,189112.0,155347.5,1422.5400000000004
2023-05-07,201183.5,197722.0,1472.9099999999996
2023-05-08,226908.5,115272.5,1364.41
2023-05-09,224560.0,113585.5,1300.55
2023-05-10,225295.0,114044.0,1236.8699999999997
2023-05-11,225053.5,117698.0,1303.6499999999999
2023-05-12,228861.5,126462.0,1272.4000000000003
2023-05-13,210248.5,176519.0,1435.5400000000004
2023-05-14,202636.0,172063.5,1407.11
2023-05-15,224892.5,110236.0,1308.1400000000003
2023-05-16,223149.5,116462.5,1487.89
2023-05-17,225466.5,115692.5,1453.71
2023-05-18,222498.5,115059.0,1448.3100000000004
2023-05-19,228340.0,131355.0,1454.89
2023-05-20,209587.0,178475.5,1536.22
2023-05-21,201288.5,165235.0,1459.5200000000004
2023-05-22,222299.0,108899.0,1396.3300000000002
2023-05-23,224899.5,116571.0,1353.0300000000002
2023-05-24,225484.0,116637.5,1263.1100000000001
2023-05-25,226096.5,125167.0,1234.2599999999995
2023-05-26,229813.5,136419.5,1323.9000000000003
2023-05-27,194376.0,187148.5,1332.3999999999999
2023-05-28,181793.5,148729.0,1295.55
2023-05-29,206003.0,155200.5,1204.53
2023-05-30,222887.0,116490.5,1268.7600000000002
2023-05-31,226964.5,120186.5,1171.4000000000003
2023-06-01,216874.0,103610.5,1287.1399999999996
2023-06-02,220314.5,118583.5,1354.1899999999998
2023-06-03,204274.0,168969.5,1469.5000000000007
2023-06-04,194057.5,167300.0,1281.0000000000005
2023-06-05,211953.0,131096.0,1418.62
2023-06-06,199633.0,164503.5,1291.5100000000004
2023-06-07,216139.0,105350.0,1371.86
2023-06-08,215614.0,108724.0,1366.1499999999999
2023-06-09,220703.0,120652.0,1408.22
2023-06-10,203213.5,160755.0,1424.5599999999997
2023-06-11,193235.0,157734.5,1361.9700000000003
2023-06-12,215092.5,108860.5,1367.3899999999996
2023-06-13,216051.5,113879.5,1538.4300000000003
2023-06-14,216135.5,113235.5,1421.8499999999997
2023-06-15,216153.0,118072.5,1391.2499999999998
2023-06-16,221158.0,135023.0,1380.5300000000002
2023-06-17,205289.0,190960.0,1620.5300000000002
