date,gonjiam_mom,hwadam_mom
2023-01-01,1.0,1.0
2023-01-02,1.111139575721739,0.8221717825247661
2023-01-03,1.0067757060212443,0.9043787508335187
2023-01-04,0.9328023650750772,0.8954928637968511
2023-01-05,0.9388199242028759,0.9678451521952849
2023-01-06,0.9814107306259745,1.0763212372138333
2023-01-07,0.9910364009302141,1.1549744208954276
2023-01-08,0.9524743778871265,1.7551399167437558
2023-01-09,1.0309840454818604,1.0938172988177384
2023-01-10,0.9312483736634155,0.8688567218514345
2023-01-11,0.9092528953293207,0.8629536223419789
2023-01-12,0.8667515889633995,0.8402795292139554
2023-01-13,0.9429536496585665,0.7975578132970583
2023-01-14,0.9373495951522619,1.0572037113596282
2023-01-15,1.0811641836677968,0.9871142563076762
2023-01-16,1.0212090575276636,0.9138362379680278
2023-01-17,0.955099270581486,0.9018407539492872
2023-01-18,0.8979986674800005,0.8376561301115709
2023-01-19,0.8981527690078726,0.8092417215531912
2023-01-20,1.0005677843284146,0.7513287749671594
2023-01-21,0.8752267582840029,1.0186565297854249
2023-01-22,1.0803049323534408,1.5745521778158869
2023-01-23,1.2180593632479686,1.4706926406926406
2023-01-24,0.9192266959205286,0.8668580824374993
2023-01-25,1.0159910673872963,0.8371382716663763
2023-01-26,1.0042798660215855,0.8147081365737878
2023-01-27,0.9843981242653093,0.8217976956963741
2023-01-28,0.9283015238546262,0.9872539720180222
2023-01-29,0.8882334450907847,1.100238931483434
2023-01-30,0.9795357998034883,1.0352112676056338
2023-01-31,0.8791261509251654,1.0705094364524217
2023-02-01,0.8584481897883097,1.044999807116129
2023-02-02,0.8891383053123678,1.1219916706593447
2023-02-03,0.9797632814728322,1.1496537977339487
2023-02-04,1.0039790941162865,1.2800634748616324
2023-02-05,0.9199857729533774,1.3106748466257667
2023-02-06,1.0144981659938574,1.1027101940252542
2023-02-07,0.8976557205948953,1.0291081295907911
2023-02-08,0.8626376118106698,0.9721049555108139
2023-02-09,0.8730154938325385,1.0078254190575158
2023-02-10,0.9879152454157938,1.037261136665329
2023-02-11,1.0071118864971649,1.215286281771751
2023-02-12,0.9127146411950747,1.1118856227568
2023-02-13,1.0188587540649814,1.4091412038394624
2023-02-14,0.9090808957938186,1.1361744891502588
2023-02-15,0.8620300152944175,1.1136346825125658
2023-02-16,0.8374486554654109,0.9219715709039294
2023-02-17,0.8890482469854131,0.9862699156513589
2023-02-18,0.8664180964813292,1.0820262337185838
2023-02-19,0.9100874972616837,1.0553458840245094
2023-02-20,0.9684023676600472,1.018981889314955
2023-02-21,0.8972733808860441,1.0361023821917192
2023-02-22,0.8168633621546982,1.3516302880868114
2023-02-23,0.8339252256533094,1.360423754812569
2023-02-24,0.8992468526951014,1.219045355802438
2023-02-25,0.8981197161326915,1.2053201385067185
2023-02-26,0.8303275865661196,1.410685189949404
2023-02-27,0.8938254360982093,1.6363386512060096
2023-02-28,0.8301980850678137,1.511590118363412
2023-03-01,0.6930820773948624,1.2729588741962878
2023-03-02,0.569210939251289,1.2080847565002897
2023-03-03,0.6508558491317111,1.1330319463567633
2023-03-04,0.5885648794059699,1.0404518882805973
2023-03-05,0.7407183875689675,1.048047584102584
2023-03-06,0.9624842811233756,1.3512116106358514
2023-03-07,1.0964753467388708,1.1713211498476814
2023-03-08,1.123477476138987,1.4883602052247689
2023-03-09,1.151143867262762,1.7086544386389917
2023-03-10,1.2040826825529114,1.839678809564064
2023-03-11,0.9379375360067038,0.8559996592176524
2023-03-12,0.8502605976372481,0.7543511021548924
2023-03-13,1.0931821379875881,0.9476191149321626
2023-03-14,1.05039856621869,0.9800666254152001
2023-03-15,1.0940526957230987,1.063837725798304
2023-03-16,1.1228041744992547,1.4123694554462862
2023-03-17,1.1864679373875382,1.28987495481132
2023-03-18,0.9530246417465708,0.8676642037386975
2023-03-19,0.9289312208077662,0.8764202459506638
2023-03-20,1.1286440714027361,1.0663338993487714
2023-03-21,1.028671419421548,1.040869887195151
2023-03-22,0.9346482444336343,1.1640215981015063
2023-03-23,1.09288384993269,1.3661418990768552
2023-03-24,1.0392072165769906,1.2816949669705144
2023-03-25,0.9447408140438996,1.0469661682257405
2023-03-26,0.9750030216803002,1.1652870473982897
2023-03-27,1.135504135522421,1.3622393846005711
2023-03-28,1.2121770241647745,1.2464935205691208
2023-03-29,1.044036267625072,1.280180736092531
2023-03-30,1.0520619860131415,1.3620659139098825
2023-03-31,1.0507794061297364,1.459444001576544
2023-04-01,0.9199939329813731,1.1177086417553117
2023-04-02,0.8403331564480204,0.8548154165815319
2023-04-03,1.1053399236843153,0.7481608135587576
2023-04-04,1.0410745571345144,0.6345589361390066
2023-04-05,0.9417718698945492,0.5958991509521409
2023-04-06,1.012599208752546,0.681468342396692
2023-04-07,1.0551549274767889,0.8258222817049927
2023-04-08,0.9279017473610291,0.8622291979608668
2023-04-09,0.8248709291785447,0.8024831144210076
2023-04-10,1.130636325326591,0.7361398052704454
2023-04-11,1.0541950857190256,0.7032216507372692
2023-04-12,1.0162160648791916,0.7985149158406462
2023-04-13,1.0405790368587806,0.8476198361025118
2023-04-14,0.9076047856324442,0.9162809820393683
2023-04-15,0.84509263290282,0.9006431857992422
2023-04-16,0.8983748812117838,0.9260846234506708
2023-04-17,1.1431758603379998,0.9376876261093523
2023-04-18,1.0067065910205226,0.8538606670877973
2023-04-19,1.0117456706348427,1.0370314228432325
2023-04-20,0.9824468085106383,0.9799295606538594
2023-04-21,1.0419489337889016,1.239432893584649
2023-04-22,0.9122174916324574,1.2559925091490654
2023-04-23,0.9821918152292148,1.062634657161609
2023-04-24,1.0920444060370673,0.8993711745801918
2023-04-25,1.0182975880452123,0.8107024951416151
2023-04-26,0.9935367538580427,0.8740751841431864
2023-04-27,0.9768119664106215,0.9805099854557965
2023-04-28,1.0278019942243775,1.0031709256156565
2023-04-29,0.9498643205591076,1.0477716279672307
2023-04-30,1.018041454998194,1.2664850822585494
2023-05-01,0.9950846074599456,0.9978192899511594
2023-05-02,1.1812664097930234,0.8828572226410879
2023-05-03,1.0772283743263615,0.741833657581879
2023-05-04,1.0081024064863315,0.665254734615665
2023-05-05,0.9320823318362453,0.7128017328209063
2023-05-06,0.8422990806739857,0.7747845053585286
2023-05-07,0.8431113372560123,0.8595211434593598
2023-05-08,0.994302249724364,0.9691994232283945
2023-05-09,1.0599210620739143,1.0276939977150892
2023-05-10,0.9599231088735811,1.0211193053142211
2023-05-11,1.075111664731682,1.02906417388677
2023-05-12,1.0547758913174532,1.0757221151138356
2023-05-13,0.9049877858315647,1.2067621366889134
2023-05-14,0.9058404643647897,0.9803248596158808
2023-05-15,1.1009551222825014,0.8328467410039044
2023-05-16,1.0568267976379249,0.8796076117597278
2023-05-17,1.0200404446565334,0.8607129135687047
2023-05-18,0.9777860820461717,0.8606268184125353
2023-05-19,1.063164240025688,1.0244196207378047
2023-05-20,0.8956320807450973,1.1699015554224794
2023-05-21,0.9639571104206268,1.021815441180596
2023-05-22,1.8974960180325642,1.0280421893183564
2023-05-23,1.0598971986887689,1.0231017852825532
2023-05-24,0.8899926631475745,0.9245793715475868
2023-05-25,0.9158550111230808,0.954459544032186
2023-05-26,0.9330298516393365,1.075732373507169
2023-05-27,0.8247139821820145,0.9245488467936599
2023-05-28,0.7516408306613118,0.7967154493079929
2023-05-29,0.8491175486330369,0.9567826472588606
2023-05-30,1.13786868427802,0.9282499790236365
2023-05-31,1.069325698131671,1.0161585254655483
2023-06-01,1.299054029218291,1.6197924097588816
2023-06-02,1.1539397539244802,1.2050666189205594
2023-06-03,0.9593192119137917,1.3279435272929283
2023-06-04,1.0081901376210314,1.2902653079744615
2023-06-05,1.0269716371236284,1.2160712080300025
2023-06-06,0.8605132634333145,1.0210079638820233
2023-06-07,0.9706844967910513,0.7093899483575774
2023-06-08,0.9762808240566199,0.6521156897973188
2023-06-09,0.9867334280548093,0.747047816522113
2023-06-10,0.7821716404459663,0.8126383626042155
2023-06-11,0.8454417348416645,0.8482467543945633
2023-06-12,1.1509912348520424,0.8901131644398941
2023-06-13,1.037607148340778,0.9449145422651174
2023-06-14,0.9865287967603085,0.9018001977456209
2023-06-15,1.0181977164146951,0.950124710484684
2023-06-16,1.066392777439643,1.093050151318634
2023-06-17,0.9101279369123274,1.121641433144488
2023-06-18,0.8491650751852163,0.9165210050650511
2023-06-19,1.1504750366752972,0.7264814730205144
2023-06-20,1.115394268020247,0.7949620825088057
2023-06-21,0.989710976954985,0.8148358623623323
2023-06-22,0.9661028045651596,0.9484704311973537
2023-06-23,1.0587429910334631,1.0520772059898376
2023-06-24,0.861983091131453,1.1291087536441644
2023-06-25,0.7999932070196513,0.8733470909686734
2023-06-26,1.058187721776903,0.5906525893635108
2023-06-27,1.0314115477477743,0.7019195426054124
2023-06-28,1.033886273492234,0.676062618818504
2023-06-29,1.0053715857032326,0.6520316356891127
2023-06-30,1.0374136874668753,0.94430228951672
2023-07-01,1.0481888745148773,1.2234053663010271
2023-07-02,0.9355843659184672,1.0976182456057408
2023-07-03,1.227797828879888,0.7990252213501662
2023-07-04,1.0538392440705489,0.7904444609886836
2023-07-05,1.023201439464169,0.9188945804243072
2023-07-06,0.9832279644632118,0.922361593026763
2023-07-07,1.0009185368445577,1.0260824583781718
2023-07-08,0.8925269736953539,1.2435230971688567
2023-07-09,0.8775643653587486,0.8691854000053377
2023-07-10,1.1072534018571512,0.7647188338425359
