date,gonjiam_slope_lag7_29
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.7461899999999994
2023-01-10,0.4749274999999997
2023-01-11,0.3142549999999999
2023-01-12,0.22239699999999984
2023-01-13,0.1697797142857142
2023-01-14,0.13664178571428565
2023-01-15,0.1058581122448979
2023-01-16,0.09191749999999994
2023-01-17,0.081063492063492
2023-01-18,0.0684752499999999
2023-01-19,0.05339879870129862
2023-01-20,0.04085005952380946
2023-01-21,0.030924725274725222
2023-01-22,0.026414183673469337
2023-01-23,0.026325857142857092
2023-01-24,0.025832187499999947
2023-01-25,0.02333563025210079
2023-01-26,0.018225952380952343
2023-01-27,0.014055526315789426
2023-01-28,0.008136857142857086
2023-01-29,0.00673979591836729
2023-01-30,0.010284480519480464
2023-01-31,0.012335652173912989
2023-02-01,-0.018310434782608725
2023-02-02,-0.02654284161490687
2023-02-03,-0.025834161490683273
2023-02-04,-0.02623719565217395
2023-02-05,-0.028296537267080785
2023-02-06,-0.02797726708074538
2023-02-07,-0.027919673913043508
2023-02-08,-0.0319546583850932
2023-02-09,-0.035910947204968964
2023-02-10,-0.036773478260869574
2023-02-11,-0.03400830745341617
2023-02-12,-0.03162172360248449
2023-02-13,-0.027845450310559027
2023-02-14,-0.02736284161490685
2023-02-15,-0.031047049689441008
2023-02-16,-0.03575333850931678
2023-02-17,-0.03787610248447206
2023-02-18,-0.03615580745341617
2023-02-19,-0.03519784161490685
2023-02-20,-0.03056927018633542
2023-02-21,-0.030228881987577647
2023-02-22,-0.0360301397515528
2023-02-23,-0.042290791925465844
2023-02-24,-0.04767049689440994
2023-02-25,-0.05150745341614906
2023-02-26,-0.0551126552795031
2023-02-27,-0.05397408385093167
2023-02-28,-0.05156537267080745
2023-03-01,-0.052790822981366455
2023-03-02,-0.05227591614906833
2023-03-03,-0.050594114906832306
2023-03-04,-0.04903704968944101
2023-03-05,-0.048954270186335413
2023-03-06,-0.049361180124223615
2023-03-07,-0.04935226708074535
2023-03-08,-0.05231740683229815
2023-03-09,-0.055838090062111816
2023-03-10,-0.057854549689441016
2023-03-11,-0.05850614906832299
2023-03-12,-0.0596860093167702
2023-03-13,-0.06066513975155281
2023-03-14,-0.05935246894409938
2023-03-15,-0.05869408385093168
2023-03-16,-0.05698397515527951
2023-03-17,-0.053183478260869554
2023-03-18,-0.04869318322981366
2023-03-19,-0.04541029503105589
2023-03-20,-0.04233085403726708
2023-03-21,-0.03912437888198758
2023-03-22,-0.037297779503105595
2023-03-23,-0.0351651397515528
2023-03-24,-0.03136604037267081
2023-03-25,-0.02753658385093168
2023-03-26,-0.02502428571428572
2023-03-27,-0.022054254658385092
2023-03-28,-0.019154083850931675
2023-03-29,-0.01745420807453416
2023-03-30,-0.015374052795031049
2023-03-31,-0.011638012422360244
2023-04-01,-0.0070895652173912985
2023-04-02,-0.002892111801242234
2023-04-03,0.0020987267080745343
2023-04-04,0.007392608695652172
2023-04-05,0.01056781055900621
2023-04-06,0.01209565217391304
2023-04-07,0.012436506211180124
2023-04-08,0.011394052795031053
2023-04-09,0.00856888198757764
2023-04-10,0.0072608850931677035
2023-04-11,0.007672546583850931
2023-04-12,0.007706257763975155
2023-04-13,0.0078023913043478235
2023-04-14,0.008120729813664596
2023-04-15,0.007420791925465837
2023-04-16,0.004475372670807451
2023-04-17,0.0033245496894409926
2023-04-18,0.0037324999999999984
2023-04-19,0.003620683229813663
2023-04-20,0.0038857763975155275
2023-04-21,0.004336956521739129
2023-04-22,0.0035193788819875755
2023-04-23,0.0012275776397515496
2023-04-24,0.0007396118012422327
2023-04-25,0.0011049844720496884
2023-04-26,0.0009070031055900626
2023-04-27,0.0001947204968944135
2023-04-28,-0.00019551242236024471
2023-04-29,-0.0016974223602484434
2023-04-30,-0.003557810559006208
2023-05-01,-0.0034494720496894386
2023-05-02,-0.002002468944099379
2023-05-03,-0.00112423913043478
2023-05-04,-0.0011944565217391265
2023-05-05,-0.000825714285714283
2023-05-06,-0.0012224068322981376
2023-05-07,-0.002087003105590066
2023-05-08,-0.0021102173913043545
2023-05-09,1.015527950310008e-05
2023-05-10,0.0011688198757763928
2023-05-11,0.00158560559006211
2023-05-12,0.0017015062111801211
2023-05-13,0.0005462888198757715
2023-05-14,-0.0011286801242236092
2023-05-15,-0.0020750776397515593
2023-05-16,-0.0010005900621118107
2023-05-17,-0.0007634472049689568
2023-05-18,-0.00017493788819877043
2023-05-19,0.0004078416149068192
2023-05-20,-7.29813664596424e-05
2023-05-21,-0.0013607919254658555
2023-05-22,-0.0011988975155279664
2023-05-23,-0.00011482919254659833
2023-05-24,-0.00012164596273293384
2023-05-25,-0.0001543788819875918
2023-05-26,0.0002303726708074369
2023-05-27,2.790372670805601e-05
2023-05-28,-0.0009631521739130612
2023-05-29,0.0031031521739130273
2023-05-30,0.006970450310558991
2023-05-31,0.009321568322981356
2023-06-01,0.00950392857142856
2023-06-02,0.008497282608695639
2023-06-03,0.005457779503105575
2023-06-04,0.0004181677018633435
2023-06-05,-0.0004505434782608765
2023-06-06,0.0007149534161490644
2023-06-07,0.002311242236024842
2023-06-08,0.004414627329192545
2023-06-09,0.0069822204968944075
2023-06-10,0.008241801242236025
2023-06-11,0.008408447204968942
2023-06-12,0.008311630434782611
2023-06-13,0.008199099378881993
2023-06-14,0.0070819409937888265
2023-06-15,0.006241506211180128
2023-06-16,0.005997841614906835
2023-06-17,0.0044632453416149085
2023-06-18,0.00212472049689441
2023-06-19,0.002035139751552794
2023-06-20,0.0025334006211180132
2023-06-21,-0.0011434006211180096
2023-06-22,-0.004236754658385089
2023-06-23,-0.005515388198757759
2023-06-24,-0.006579363354037264
2023-06-25,-0.007943260869565216
2023-06-26,-0.005717204968944095
2023-06-27,-0.0003511024844720487
2023-06-28,0.0017171428571428548
2023-06-29,0.0022436801242235963
2023-06-30,0.0028956211180124155
2023-07-01,0.0009817391304347766
2023-07-02,-0.0033112267080745356
2023-07-03,-0.00607467391304348
2023-07-04,-0.007266413043478261
2023-07-05,-0.0071423447204969
2023-07-06,-0.006108012422360254
2023-07-07,-0.0039916770186335495
2023-07-08,-0.002819347826086963
2023-07-09,-0.003143447204968949
2023-07-10,-0.0010302018633540414
2023-07-11,0.0016071894409937883
2023-07-12,0.002781226708074534
2023-07-13,0.0035207608695652167
2023-07-14,0.0036523447204968953
2023-07-15,0.0027008540372670834
2023-07-16,4.67391304347847e-05
2023-07-17,-0.00012060559006211057
2023-07-18,0.0009161024844720521
2023-07-19,0.0006001863354037308
2023-07-20,-0.000410590062111799
2023-07-21,-0.0008896894409937821
2023-07-22,-0.001913431677018625
2023-07-23,-0.004024316770186328
2023-07-24,-0.0036879968944099305
2023-07-25,-0.0014595807453416081
2023-07-26,-3.307453416148347e-05
2023-07-27,0.0008675931677018707
2023-07-28,0.001736956521739136
2023-07-29,0.001728431677018641
2023-07-30,0.0005108229813664672
2023-07-31,0.0006584316770186406
2023-08-01,0.002505559006211189
2023-08-02,0.003157531055900631
2023-08-03,0.003685434782608701
2023-08-04,0.004221459627329202
2023-08-05,0.0038809782608695696
2023-08-06,0.0030132763975155292
2023-08-07,0.003867298136645965
2023-08-08,0.007163074534161491
2023-08-09,0.009471257763975158
2023-08-10,0.012175108695652175
2023-08-11,0.014777018633540372
2023-08-12,0.015166537267080749
2023-08-13,0.013522189440993785
2023-08-14,0.01311869565217391
2023-08-15,0.013928416149068323
2023-08-16,0.013242437888198755
2023-08-17,0.012764316770186327
2023-08-18,0.012953152173913038
2023-08-19,0.011530372670807443
2023-08-20,0.009062018633540368
2023-08-21,0.008605357142857137
2023-08-22,0.008497950310558998
2023-08-23,0.007225388198757759
2023-08-24,0.005384394409937881
2023-08-25,0.003967049689440989
2023-08-26,0.001309906832298138
2023-08-27,-0.0019980900621118006
2023-08-28,-0.002434580745341611
2023-08-29,-0.002073990683229806
2023-08-30,-0.0023956987577639704
2023-08-31,-0.0037108074534161423
2023-09-01,-0.004838183229813658
2023-09-02,-0.00731509316770186
2023-09-03,-0.010344720496894411
2023-09-04,-0.009459363354037268
2023-09-05,-0.006287639751552797
2023-09-06,-0.003926987577639751
2023-09-07,-0.0017718478260869586
2023-09-08,0.0014196118012422382
2023-09-09,0.0022835248447205005
2023-09-10,0.0009974068322981392
2023-09-11,0.0027862577639751617
2023-09-12,0.005164301242236028
2023-09-13,0.005081847826086958
2023-09-14,0.00507400621118013
2023-09-15,0.005404922360248454
2023-09-16,0.003920807453416155
2023-09-17,0.000796444099378885
2023-09-18,0.0011934782608695642
2023-09-19,0.0032712422360248387
2023-09-20,0.0040461645962732865
2023-09-21,0.00552107142857142
2023-09-22,0.00638122670807453
2023-09-23,0.005472701863354033
2023-09-24,0.0027985714285714254
2023-09-25,0.0025838819875776352
2023-09-26,0.004398618012422353
2023-09-27,0.008358618012422355
2023-09-28,0.012856397515527947
2023-09-29,0.016658260869565213
2023-09-30,0.01596512422360248
2023-10-01,0.009846614906832297
2023-10-02,0.0036724534161490657
2023-10-03,-0.0028615838509316737
2023-10-04,-0.008163664596273289
2023-10-05,-0.011389953416149063
2023-10-06,-0.011379394409937882
2023-10-07,-0.010582220496894407
2023-10-08,-0.009824611801242236
2023-10-09,-0.006206102484472049
2023-10-10,-0.0012312732919254662
2023-10-11,0.004995947204968943
2023-10-12,0.00922409937888199
2023-10-13,0.011279720496894408
2023-10-14,0.010336801242236023
2023-10-15,0.007597204968944093
2023-10-16,0.004784006211180117
2023-10-17,0.0026049999999999936
2023-10-18,0.002666024844720492
2023-10-19,0.0025146894409937867
2023-10-20,-0.0009624378881987587
2023-10-21,-0.007006723602484474
2023-10-22,-0.013259565217391307
2023-10-23,-0.014772344720496901
2023-10-24,-0.010606894409937902
2023-10-25,-0.0040261645962733055
2023-10-26,0.00438628881987576
2023-10-27,0.009396645962732897
2023-10-28,0.010461987577639728
2023-10-29,0.008335807453416126
2023-10-30,0.007831071428571408
2023-10-31,0.007987468944099357
2023-11-01,0.007394518633540348
2023-11-02,0.00657287267080743
2023-11-03,0.0017670652173912829
2023-11-04,-0.004314316770186355
2023-11-05,-0.00953759316770188
2023-11-06,-0.010108788819875793
2023-11-07,-0.0075392391304347954
2023-11-08,-0.0025490062111801397
2023-11-09,0.003920543478260851
2023-11-10,0.006375217391304333
2023-11-11,0.005107142857142843
2023-11-12,0.0015537577639751392
2023-11-13,0.00040940993788818417
2023-11-14,0.0009219720496894285
2023-11-15,0.0012634627329192484
2023-11-16,0.001517717391304344
2023-11-17,0.0013166149068322972
2023-11-18,-0.0006767080745341658
2023-11-19,-0.0030080900621118037
2023-11-20,-0.0013153881987577646
2023-11-21,0.0031843788819875722
2023-11-22,0.006195916149068316
2023-11-23,0.008987329192546578
2023-11-24,0.011681257763975151
2023-11-25,0.011209953416149065
2023-11-26,0.008715714285714283
2023-11-27,0.009842717391304337
2023-11-28,0.012458260869565207
2023-11-29,0.012865822981366449
2023-11-30,0.012995962732919242
2023-12-01,0.014200900621118005
2023-12-02,0.012523183229813656
2023-12-03,0.00980406832298136
2023-12-04,0.012263928571428563
2023-12-05,0.01749714285714285
2023-12-06,0.022166987577639737
2023-12-07,0.026163788819875765
2023-12-08,0.030685046583850913
2023-12-09,0.0313035559006211
2023-12-10,0.029730791925465818
2023-12-11,0.0327059161490683
2023-12-12,0.0377741614906832
2023-12-13,0.04077549689440991
2023-12-14,0.0411670962732919
2023-12-15,0.041367204968944075
2023-12-16,0.038058850931677005
2023-12-17,0.031844192546583834
2023-12-18,0.03195698757763973
2023-12-19,0.035539673913043454
2023-12-20,0.03735024844720495
2023-12-21,0.03695489130434781
2023-12-22,0.036849596273291915
2023-12-23,0.03604538819875776
2023-12-24,0.0323945807453416
2023-12-25,0.03470824534161489
2023-12-26,0.03920872670807451
2023-12-27,0.04036976708074532
2023-12-28,0.03822784161490681
2023-12-29,0.03382141304347824
2023-12-30,0.02955060559006209
2023-12-31,0.02429593167701862
2024-01-01,0.023381242236024825
2024-01-02,0.027054285714285687
2024-01-03,0.02781490683229812
2024-01-04,0.026288167701863346
2024-01-05,0.022277080745341616
2024-01-06,0.019162251552795027
2024-01-07,0.015404999999999992
2024-01-08,0.015333354037267068
2024-01-09,0.023035419254658376
2024-01-10,0.029840155279503098
2024-01-11,0.034662748447204954
2024-01-12,0.036683944099378876
2024-01-13,0.03837035714285714
2024-01-14,0.03720357142857142
2024-01-15,0.03516186335403725
2024-01-16,0.03639518633540372
2024-01-17,0.03442964285714287
2024-01-18,0.030667919254658404
2024-01-19,0.026542111801242246
2024-01-20,0.023504394409937904
2024-01-21,0.021990543478260884
2024-01-22,0.022052049689441005
2024-01-23,0.023323152173913057
2024-01-24,0.022986040372670824
2024-01-25,0.018931273291925496
2024-01-26,0.013287872670807485
2024-01-27,0.007870838509316785
2024-01-28,0.004642018633540387
2024-01-29,0.0035101708074534274
2024-01-30,0.002119518633540384
2024-01-31,-8.850931676963699e-07
2024-02-01,-0.008043944099378886
2024-02-02,-0.018491366459627324
2024-02-03,-0.027240450310559005
2024-02-04,-0.03125670807453416
2024-02-05,-0.030280450310559003
2024-02-06,-0.02798608695652174
2024-02-07,-0.02730307453416149
2024-02-08,-0.0312260248447205
2024-02-09,-0.03694417701863355
2024-02-10,-0.04168138198757766
2024-02-11,-0.04453392857142859
2024-02-12,-0.04284052795031058
2024-02-13,-0.04099818322981367
2024-02-14,-0.042030931677018636
2024-02-15,-0.044864130434782615
2024-02-16,-0.04811658385093168
2024-02-17,-0.04971068322981367
2024-02-18,-0.04821166149068324
2024-02-19,-0.04456118012422361
2024-02-20,-0.04002343167701865
2024-02-21,-0.037653509316770195
2024-02-22,-0.03426981366459627
2024-02-23,-0.031201708074534165
2024-02-24,-0.028157810559006208
2024-02-25,-0.02532546583850932
2024-02-26,-0.024324177018633545
2024-02-27,-0.02587847826086957
2024-02-28,-0.0307966149068323
2024-02-29,-0.03156604037267081
2024-03-01,-0.028498866459627337
2024-03-02,-0.022947422360248448
2024-03-03,-0.01823139751552796
2024-03-04,-0.014589968944099386
2024-03-05,-0.014854239130434795
2024-03-06,-0.020147593167701882
2024-03-07,-0.02386156832298139
2024-03-08,-0.0251542391304348
2024-03-09,-0.0258221739130435
2024-03-10,-0.02774436335403729
2024-03-11,-0.03054124223602487
2024-03-12,-0.035697686335403746
2024-03-13,-0.04142147515527952
2024-03-14,-0.04641301242236026
2024-03-15,-0.04882225155279505
2024-03-16,-0.05088824534161492
2024-03-17,-0.052822546583850945
2024-03-18,-0.05090512422360249
2024-03-19,-0.04785948757763976
2024-03-20,-0.04334759316770187
2024-03-21,-0.03840175465838511
2024-03-22,-0.03445588509316771
2024-03-23,-0.036142763975155284
