date,gonjiam_lag18_33
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,1.0
2023-01-20,1.0555697878608696
2023-01-21,1.0393050939143278
2023-01-22,1.0126794117045153
2023-01-23,0.9979075142041873
2023-01-24,0.9951580502744851
2023-01-25,0.9945692432253035
2023-01-26,0.9893073850580314
2023-01-27,0.9939381251051235
2023-01-28,0.9876691499609528
2023-01-29,0.9805403995398954
2023-01-30,0.9710579986585207
2023-01-31,0.9688961256585242
2023-02-01,0.9666428020509341
2023-02-02,0.9742775608253915
2023-02-03,0.9772107793692836
2023-02-04,0.9744044837806264
2023-02-05,0.9610831770155178
2023-02-06,0.9542942434521821
2023-02-07,0.9585295821555155
2023-02-08,0.9545550092855861
2023-02-09,0.9607358968935528
2023-02-10,0.9749248320384124
2023-02-11,0.9728468519155
2023-02-12,0.9719097907845897
2023-02-13,0.9764742590569753
2023-02-14,0.9811708358654746
2023-02-15,0.9850177067961763
2023-02-16,0.98159769401069
2023-02-17,0.9842343318013916
2023-02-18,0.9716069547549772
2023-02-19,0.9614344005212675
2023-02-20,0.9573118401919477
2023-02-21,0.9624221285664996
2023-02-22,0.9690362738857755
2023-02-23,0.9639998981748357
2023-02-24,0.9727043611567016
2023-02-25,0.9612887854217924
2023-02-26,0.9390749259569613
2023-02-27,0.9361867258264619
2023-02-28,0.934431986953243
2023-03-01,0.9346089882329668
2023-03-02,0.9301287705410771
2023-03-03,0.9357885974292243
2023-03-04,0.9370915630981639
2023-03-05,0.929747451566347
2023-03-06,0.9271426081001123
2023-03-07,0.9290551116749313
2023-03-08,0.9276350986229913
2023-03-09,0.9232803621097946
2023-03-10,0.9210568167062796
2023-03-11,0.9196372922020712
2023-03-12,0.9072851169621238
2023-03-13,0.9033019610282748
2023-03-14,0.9055900385835516
2023-03-15,0.9071590524773112
2023-03-16,0.8973098237992065
2023-03-17,0.8902294206492718
2023-03-18,0.885072135891318
2023-03-19,0.8647110935994355
2023-03-20,0.8434692213155275
2023-03-21,0.8302708359303583
2023-03-22,0.8147155999266433
2023-03-23,0.8054449837131153
2023-03-24,0.8114491202532433
2023-03-25,0.8230983608455675
2023-03-26,0.8327905551255013
2023-03-27,0.8486574605240462
2023-03-28,0.8728586680489345
2023-03-29,0.8793594374460216
2023-03-30,0.8762977965049058
2023-03-31,0.8884891978708368
2023-04-01,0.9022436340991226
2023-04-02,0.9147578378256781
2023-04-03,0.9330457184151432
2023-04-04,0.9638823346646854
2023-04-05,0.9878706910706404
2023-04-06,1.0052504018003938
2023-04-07,1.0390053513001918
2023-04-08,1.057002415790978
2023-04-09,1.0552626634978692
2023-04-10,1.055038194947483
2023-04-11,1.0497713037248582
2023-04-12,1.0368711128986792
2023-04-13,1.022553634094141
2023-04-14,1.0349015465638733
2023-04-15,1.057521323221844
2023-04-16,1.0544497063241867
2023-04-17,1.0545536700613398
2023-04-18,1.0518490894617547
2023-04-19,1.039173449366887
2023-04-20,1.0175400255581672
2023-04-21,1.0270597306792761
2023-04-22,1.034068689199698
2023-04-23,1.0223891766054363
2023-04-24,1.0213846634386237
2023-04-25,1.0289163311288207
2023-04-26,1.018604949718092
2023-04-27,1.0052089317556892
2023-04-28,1.0168274012108574
2023-04-29,1.0217769052132777
2023-04-30,1.0143214007980759
2023-05-01,1.0035965265914513
2023-05-02,0.995069558966912
2023-05-03,0.9821339743975169
2023-05-04,0.9726086915901448
2023-05-05,0.9865575620499341
2023-05-06,0.9969559017107155
2023-05-07,0.9911062608951233
2023-05-08,0.9874420266061311
2023-05-09,0.9937030930995282
2023-05-10,0.9874292357795227
2023-05-11,0.9828690412640493
2023-05-12,0.9931279574313016
2023-05-13,1.0052171236104683
2023-05-14,0.9966484003936841
2023-05-15,0.9918119554369088
2023-05-16,0.9925360760209829
2023-05-17,0.9868664062522534
2023-05-18,0.9937686980876128
2023-05-19,1.003143196497433
2023-05-20,1.0208239170337605
2023-05-21,1.0167021991580332
2023-05-22,1.0167894376246462
2023-05-23,1.011810478949734
2023-05-24,1.0030512459599432
2023-05-25,0.9906238961766375
2023-05-26,0.9957541935573817
2023-05-27,1.0006122714851755
2023-05-28,0.9923546904124576
2023-05-29,0.9959055702053619
2023-05-30,0.9997330162965751
2023-05-31,0.995244005010384
2023-06-01,0.9876214093941598
2023-06-02,0.9970645845018719
2023-06-03,0.999488668416855
2023-06-04,1.0010484082416418
2023-06-05,0.9883308877574636
2023-06-06,0.9874518793636714
2023-06-07,0.9804224840048443
2023-06-08,0.9824146576663682
2023-06-09,1.0483644662512792
2023-06-10,1.0619135825908266
2023-06-11,1.0553942334297772
2023-06-12,1.0463901052453501
2023-06-13,1.0447092766682098
2023-06-14,1.0290594215088555
2023-06-15,1.0101134802178466
2023-06-16,1.0066215903929387
2023-06-17,1.0211233541375158
2023-06-18,1.0191465151280887
2023-06-19,1.0342857171018618
2023-06-20,1.0426544239311084
2023-06-21,1.0415002445478345
2023-06-22,1.0380643631475435
2023-06-23,1.0462730854212017
2023-06-24,1.0398078449844947
2023-06-25,0.9818821249069002
2023-06-26,0.9766561014923909
2023-06-27,0.982702399299093
2023-06-28,0.9743471886317734
2023-06-29,0.9688729313319189
2023-06-30,0.9892652596237956
2023-07-01,1.0071381544787623
2023-07-02,1.0157263574867168
2023-07-03,1.008246921995259
2023-07-04,1.0080636144520072
2023-07-05,0.9837557336828845
2023-07-06,0.9647073162616804
2023-07-07,0.9766545553092746
2023-07-08,0.9833548134592256
2023-07-09,0.9810260221986854
2023-07-10,0.9876253685194256
2023-07-11,0.9931290244095764
2023-07-12,0.9859854161017535
2023-07-13,0.9743141522870562
2023-07-14,0.9915651573702396
2023-07-15,1.0031882706768716
2023-07-16,0.9958692105918835
2023-07-17,0.993854487927037
2023-07-18,0.9970347935961973
2023-07-19,0.9989092409774587
2023-07-20,0.9907337152573853
2023-07-21,1.0105880835053578
2023-07-22,1.023380219060691
2023-07-23,1.0154256192349955
2023-07-24,1.0071652252626808
2023-07-25,1.0078656977557792
2023-07-26,1.0032672083264162
2023-07-27,0.9919435442217466
2023-07-28,1.0072729386421027
2023-07-29,1.0151962677623083
2023-07-30,1.0079032999818134
2023-07-31,1.0041740340783294
2023-08-01,1.0025243909005788
2023-08-02,0.9937174302384745
2023-08-03,0.9841456292734708
2023-08-04,0.9892577080416138
2023-08-05,0.9980527775234873
2023-08-06,0.9858389679323319
2023-08-07,0.9855063526928526
2023-08-08,0.9866817042100973
2023-08-09,0.9843850478416255
2023-08-10,0.9845966482141049
2023-08-11,1.0046693191249687
2023-08-12,1.0218980987986497
2023-08-13,1.0197652654640574
2023-08-14,1.0285872022242115
2023-08-15,1.0371873019731161
2023-08-16,1.034515218807873
2023-08-17,1.0322602168516397
2023-08-18,1.0494886441334343
2023-08-19,1.070948666756229
2023-08-20,1.0707458206452012
2023-08-21,1.073767510339994
2023-08-22,1.0746889105536483
2023-08-23,1.061202919853187
2023-08-24,1.0507336342452605
2023-08-25,1.0594004673945505
2023-08-26,1.0588297953446653
2023-08-27,1.0406156647719542
2023-08-28,1.029455602317214
2023-08-29,1.027835706214736
2023-08-30,1.0158876154483059
2023-08-31,1.0070333395723299
2023-09-01,1.0147064487296056
2023-09-02,1.0093660119670809
2023-09-03,1.001233848368852
2023-09-04,0.9864982389224665
2023-09-05,0.9775264694923333
2023-09-06,0.9584231887713317
2023-09-07,0.9447585095903597
2023-09-08,0.9645449237541077
2023-09-09,0.9745499123747633
2023-09-10,0.9682731665744192
2023-09-11,0.9680342460007154
2023-09-12,0.9762098584375283
2023-09-13,0.972482951786562
2023-09-14,0.9705345867784027
2023-09-15,0.9915086991017139
2023-09-16,1.001916930890845
2023-09-17,0.9990095076781513
2023-09-18,1.0151933761023528
2023-09-19,1.02852261880253
2023-09-20,1.0231905475526926
2023-09-21,1.0170845610034696
2023-09-22,1.042386530484202
2023-09-23,1.054154245301119
2023-09-24,1.040118115594802
2023-09-25,1.0351797852961462
2023-09-26,1.030227310507942
2023-09-27,1.0177420409929296
2023-09-28,1.007263108115026
2023-09-29,1.0197006039068404
2023-09-30,1.0223924782488039
2023-10-01,1.0099801967825734
2023-10-02,1.0071703296210486
2023-10-03,1.00557404163743
2023-10-04,0.990585720043136
2023-10-05,0.9680125317550148
2023-10-06,0.9820368110183361
2023-10-07,1.0006155960499832
2023-10-08,1.0262130923281265
2023-10-09,1.0408214514282703
2023-10-10,1.0480669139767917
2023-10-11,1.0301118052002831
2023-10-12,1.0138529384299249
2023-10-13,1.0150297576343754
2023-10-14,1.0055247976953885
2023-10-15,0.9882652731835224
2023-10-16,0.9747946204450644
2023-10-17,0.9717872780775514
2023-10-18,0.9773213659150877
2023-10-19,0.9878035455163607
2023-10-20,1.00250240491219
2023-10-21,1.0169417440686785
2023-10-22,1.051362291461837
2023-10-23,1.0459036090699942
2023-10-24,1.0048380219105202
2023-10-25,0.9764501570623336
2023-10-26,0.9609318433101336
2023-10-27,0.9731340522143763
2023-10-28,0.9965868215371817
2023-10-29,1.011317128889737
2023-10-30,1.0306739849744126
2023-10-31,1.041407488873874
2023-11-01,1.0425287371567813
2023-11-02,1.0391027543751243
2023-11-03,1.0395243705141146
2023-11-04,1.0363677182956466
2023-11-05,1.031078147228379
2023-11-06,1.0250650727140935
2023-11-07,0.9788593349899259
2023-11-08,0.9614618202934414
2023-11-09,0.9569936090844907
2023-11-10,0.9832831054872959
2023-11-11,1.0009138872047878
2023-11-12,1.0099402129130297
2023-11-13,1.0077106559697782
2023-11-14,1.0032973808104033
2023-11-15,0.9875620054383661
2023-11-16,0.9815222226616079
2023-11-17,1.0005296765268903
2023-11-18,1.011479381525434
2023-11-19,1.0099624022611926
2023-11-20,1.0143138507208858
2023-11-21,1.0103330170473326
2023-11-22,0.9990953232967014
2023-11-23,0.9934112528938963
2023-11-24,1.008965108727928
2023-11-25,1.0179779099839616
2023-11-26,1.0038294257693188
2023-11-27,1.0001102264713915
2023-11-28,0.9992248605461198
2023-11-29,0.9908025553733766
2023-11-30,0.9902627879058238
2023-12-01,1.0175891903576335
2023-12-02,1.0352663812274556
2023-12-03,1.0343551964329967
2023-12-04,1.0401411920410102
2023-12-05,1.0421299100526187
2023-12-06,1.0209875315439345
2023-12-07,1.0119888550052054
2023-12-08,1.0323962228317347
2023-12-09,1.0445574410053466
2023-12-10,1.0412258459597006
2023-12-11,1.040620064287239
2023-12-12,1.051172069884708
2023-12-13,1.0458826673880626
2023-12-14,1.0464424617586405
2023-12-15,1.0714898872112848
2023-12-16,1.0839678470713445
2023-12-17,1.0789984318998256
2023-12-18,1.0725590232860467
2023-12-19,1.0724765183819573
2023-12-20,1.0577873028457478
2023-12-21,1.0457105918454226
2023-12-22,1.0726054676826888
2023-12-23,1.0927899215845278
2023-12-24,1.087063058251732
2023-12-25,1.0840845541333985
2023-12-26,1.0882032349835482
2023-12-27,1.0824747273734903
2023-12-28,1.0687826302175223
2023-12-29,1.0832237684510755
2023-12-30,1.0848219116175533
2023-12-31,1.068419066607084
2024-01-01,1.052672243650374
2024-01-02,1.0435936131713293
2024-01-03,1.0424561155633725
2024-01-04,1.0335910738388387
2024-01-05,1.0495663158725368
2024-01-06,1.056446710431298
2024-01-07,1.0406586918928853
2024-01-08,1.028134863402814
2024-01-09,1.0215832034534786
2024-01-10,1.021820551224339
2024-01-11,1.0203874280698986
2024-01-12,1.0239881156415358
2024-01-13,1.0375430022399224
2024-01-14,1.029783765145938
2024-01-15,1.027683731438993
2024-01-16,1.0225148243912165
2024-01-17,1.0299860198309863
2024-01-18,1.028539368935407
2024-01-19,1.0309838682694656
2024-01-20,1.0474219696471248
2024-01-21,1.0465613543117724
2024-01-22,1.0439191168608277
2024-01-23,1.042869298753581
2024-01-24,1.043016917830408
2024-01-25,1.0471517738532536
2024-01-26,1.0475558215936596
2024-01-27,1.046977938112766
2024-01-28,1.0449325255816295
2024-01-29,1.0325327629919112
2024-01-30,1.0280008598274355
2024-01-31,1.0261609615433633
2024-02-01,1.028829737452029
2024-02-02,1.0292627326489816
2024-02-03,1.0298679900103729
2024-02-04,1.022089625186789
2024-02-05,1.000826093327487
2024-02-06,0.9818912929466955
2024-02-07,0.9743875173494037
2024-02-08,0.972310396293807
2024-02-09,0.9745489203632911
2024-02-10,0.9673726127217119
2024-02-11,0.9612124234530517
2024-02-12,0.9507753809896792
2024-02-13,0.950555124543554
2024-02-14,0.9538698366512475
2024-02-15,0.9580531220548429
2024-02-16,0.9662521113014927
2024-02-17,0.9650052792553742
2024-02-18,0.9521224081867621
2024-02-19,0.9458050419741146
2024-02-20,0.9394338636520956
2024-02-21,0.9375625374374391
2024-02-22,0.9400786876094837
2024-02-23,0.948623720591482
2024-02-24,0.9450098930664521
2024-02-25,0.9371815474537715
2024-02-26,0.9360782055901394
2024-02-27,0.934710364496464
2024-02-28,0.9406194228638237
2024-02-29,0.9470699328235942
2024-03-01,0.943224041944798
2024-03-02,0.9430848627435736
2024-03-03,0.9363611869608627
2024-03-04,0.9477848498146041
2024-03-05,0.9626022461672359
2024-03-06,0.9667738618057947
2024-03-07,0.9671601416542426
2024-03-08,0.9704282777721869
2024-03-09,0.9678232125933609
2024-03-10,0.9624699310752345
2024-03-11,0.9806369042728684
2024-03-12,0.9904486194841083
2024-03-13,0.9995090166547826
2024-03-14,0.9995368278063395
2024-03-15,0.994797106674532
2024-03-16,0.9746228735009986
2024-03-17,0.9651237255057538
2024-03-18,0.9546360864770556
2024-03-19,0.9505163204246551
2024-03-20,0.92677893252575
2024-03-21,0.8929374776708136
2024-03-22,0.8700231593065357
2024-03-23,0.8522616213717817
2024-03-24,0.8421605680363516
2024-03-25,0.834115534718407
2024-03-26,0.8265051540386792
2024-03-27,0.8032856434479361
2024-03-28,0.7977791645974273
2024-03-29,0.8469299169057551
2024-03-30,0.8729241785869533
2024-03-31,0.8870855101925755
2024-04-01,0.9056026983495188
2024-04-02,0.912886655632907
2024-04-03,0.907150744139925
2024-04-04,0.8961104280859796
2024-04-05,0.9130272260047146
2024-04-06,0.9412685383811429
2024-04-07,0.9631865047653706
2024-04-08,0.9883876653300047
2024-04-09,1.0047184495949026
2024-04-10,1.012269294095565
2024-04-11,1.0119896837814215
2024-04-12,1.0291996827996253
2024-04-13,1.037729013243501
2024-04-14,0.9939515948744093
2024-04-15,0.98092027055178
2024-04-16,0.986029635762301
2024-04-17,0.9792986248477196
2024-04-18,0.9755375689275959
2024-04-19,1.0047124781814996
