date,ski_last3
2023-01-01,69.02187
2023-01-02,77.498165
2023-01-03,77.20139333333333
2023-01-04,79.23678666666666
2023-01-05,75.67823333333332
2023-01-06,76.39645
2023-01-07,79.86828000000001
2023-01-08,80.57023333333332
2023-01-09,83.42954333333334
2023-01-10,81.1177
2023-01-11,79.87369666666667
2023-01-12,74.86787
2023-01-13,73.33387
2023-01-14,74.18488666666667
2023-01-15,76.98457
2023-01-16,78.24483666666667
2023-01-17,76.36392666666667
2023-01-18,71.61015333333333
2023-01-19,67.53936
2023-01-20,70.51521000000001
2023-01-21,71.05726
2023-01-22,79.72734333333334
2023-01-23,86.55717
2023-01-24,86.7767
2023-01-25,82.06629
2023-01-26,74.92749666666667
2023-01-27,77.77867666666667
2023-01-28,78.72184
2023-01-29,76.09019
2023-01-30,75.26627666666666
2023-01-31,70.64530666666667
2023-02-01,67.51768
2023-02-02,62.81811
2023-02-03,62.666336666666666
2023-02-04,65.89966333333332
2023-02-05,65.68555333333333
2023-02-06,65.42537
2023-02-07,59.86665333333334
2023-02-08,56.74716
2023-02-09,51.622080000000004
2023-02-10,51.421519999999994
2023-02-11,55.54922666666666
2023-02-12,56.256603333333324
2023-02-13,56.164456666666666
2023-02-14,49.405100000000004
2023-02-15,45.716453333333334
2023-02-16,41.35837333333333
2023-02-17,40.51819666666666
2023-02-18,39.91652
2023-02-19,38.17383
2023-02-20,36.536840000000005
2023-02-21,33.54201666666667
2023-02-22,30.47944
2023-02-23,27.313869999999998
2023-02-24,26.06444666666667
2023-02-25,26.788079999999997
2023-02-26,25.47632
2023-02-27,23.416529999999998
2023-02-28,19.931153333333334
2023-03-01,15.635410000000002
2023-03-02,10.437156666666667
2023-03-03,5.854126666666667
2023-03-04,3.90817
2023-03-05,3.2170566666666667
2023-03-06,2.58286
2023-03-07,1.9595033333333332
2023-03-08,1.6153033333333333
2023-03-09,1.34699
2023-03-10,1.244
2023-03-11,1.1003566666666666
2023-03-12,1.0136266666666667
2023-03-13,0.9865233333333334
2023-03-14,0.9296066666666666
2023-03-15,0.8564299999999999
2023-03-16,0.7751233333333333
2023-03-17,0.6748433333333334
2023-03-18,0.63961
2023-03-19,0.6097966666666667
2023-03-20,0.6097966666666667
2023-03-21,0.54204
2023-03-22,0.42821
2023-03-23,0.3658766666666667
2023-03-24,0.30083333333333334
2023-03-25,0.3360666666666667
2023-03-26,0.28457
2023-03-27,0.29541
2023-03-28,0.23307666666666668
2023-03-29,0.24392
2023-03-30,0.21952666666666665
2023-03-31,0.20597333333333334
2023-04-01,0.19242
2023-04-02,0.16260666666666668
2023-04-03,0.17616
2023-04-04,0.16802999999999998
2023-04-05,0.17074333333333336
2023-04-06,0.15719
2023-04-07,0.16802999999999998
2023-04-08,0.19242
2023-04-09,0.23849333333333333
2023-04-10,0.24120333333333333
2023-04-11,0.23578333333333334
2023-04-12,0.19242
2023-04-13,0.15990000000000001
2023-04-14,0.16803
2023-04-15,0.14093
2023-04-16,0.17074
2023-04-17,0.1951333333333333
2023-04-18,0.2303666666666667
2023-04-19,0.22765666666666665
2023-04-20,0.20597333333333334
2023-04-21,0.22765333333333335
2023-04-22,0.24120666666666665
2023-04-23,0.26018
2023-04-24,0.21952666666666668
2023-04-25,0.19784333333333334
2023-04-26,0.18971333333333332
2023-04-27,0.18700333333333333
