td,cluster,actual,pred,residual,resid_ratio
2023-08-26,always,596.0,722.6855570010157,-126.6855570010157,0.8247016897269505
2023-08-26,b2b,40.0,134.97778082971905,-94.97778082971905,0.29634507067842464
2023-08-26,green,130.0,225.79596227932302,-95.79596227932302,0.5757410304759226
2023-08-26,hwadam,467.0,377.0660981215974,89.9339018784026,1.2385096467871806
2023-08-26,ski,206.0,353.3298770840061,-147.3298770840061,0.5830245709762675
2023-08-27,always,778.0,1217.485113222935,-439.48511322293507,0.6390221872532577
2023-08-27,b2b,4.0,272.1115121311059,-268.1115121311059,0.014699855837311147
2023-08-27,green,252.0,387.9440164008322,-135.9440164008322,0.6495782621882951
2023-08-27,hwadam,664.0,579.7573032833737,84.24269671662626,1.145306831392256
2023-08-27,ski,508.0,701.9758787348909,-193.9758787348909,0.7236715895644784
2023-08-28,always,762.0,1351.613521514648,-589.613521514648,0.5637706251607234
2023-08-28,b2b,753.0,394.35399031137536,358.64600968862464,1.9094519606748337
2023-08-28,green,240.0,433.07506523369096,-193.07506523369096,0.5541764448398662
2023-08-28,hwadam,0.0,357.043957368176,-357.043957368176,0.0
2023-08-28,ski,315.0,742.7953974717962,-427.79539747179615,0.4240737100312479
2023-08-29,always,852.0,1790.2277411180053,-938.2277411180053,0.4759171028530271
2023-08-29,b2b,20.0,538.4111634580117,-518.4111634580117,0.03714633231515399
2023-08-29,green,948.0,832.6357531182017,115.3642468817983,1.1385530785217448
2023-08-29,hwadam,324.0,376.26517943942815,-52.26517943942815,0.8610948280749909
2023-08-29,ski,1348.0,1180.5466306435526,167.4533693564474,1.141843926372619
2023-08-30,always,1785.0,2142.685178733823,-357.6851787338228,0.8330668535518644
2023-08-30,b2b,275.0,727.4854240725996,-452.4854240725996,0.3780144466132373
2023-08-30,green,2250.0,1051.0072752472117,1198.9927247527883,2.140803449215676
2023-08-30,hwadam,325.0,386.19314941736343,-61.19314941736343,0.8415478122548692
2023-08-30,ski,405.0,1523.050237997543,-1118.050237997543,0.26591374985271715
2023-08-31,always,2586.0,2869.4463264834967,-283.4463264834967,0.9012191572055436
2023-08-31,b2b,1374.0,931.2679398194981,442.7320601805019,1.4754078190067554
2023-08-31,green,3576.0,1481.064649338453,2094.935350661547,2.414479342003937
2023-08-31,hwadam,570.0,610.0081608263713,-40.008160826371295,0.9344137285439383
2023-08-31,ski,1488.0,2254.921684485594,-766.9216844855941,0.6598898800955258
2023-09-01,always,3423.0,4056.5148620825453,-633.5148620825453,0.8438277971062802
2023-09-01,b2b,210.0,1072.6296022255037,-862.6296022255037,0.19578053744208596
2023-09-01,green,1218.0,1655.823792192063,-437.8237921920629,0.7355855168547556
2023-09-01,hwadam,1246.0,960.2636696972991,285.73633030270094,1.2975602840340432
2023-09-01,ski,2289.0,3210.0605286522805,-921.0605286522805,0.7130706662908376
2023-09-02,always,4375.0,5019.200630792428,-644.2006307924275,0.8716527434985755
2023-09-02,b2b,322.0,1106.5703461903697,-784.5703461903697,0.29098918212345126
2023-09-02,green,1134.0,1564.2093872460857,-430.2093872460857,0.7249668805507533
